stage,retry,indices,paths,candidates,roots_before,roots_after,new_roots,seconds,status,path_json
base,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",32,32,0,32,32,3.3980720043182373,ok,/tmp/pandrosion_076_batches/076_ks_2x8_seed0_base_r0_0_32_n32.json
base,0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",32,32,32,64,32,3.626399278640747,ok,/tmp/pandrosion_076_batches/076_ks_2x8_seed0_base_r0_32_64_n32.json
