p,max_raw_lambda_abs,max_two_chart_lambda_abs,max_K4_lambda_abs,median_raw_lambda_abs,median_two_chart_lambda_abs,median_K4_lambda_abs
2,0.999998000002,0.5194938532959158,0.1372827837673366,0.998001998001998,0.2801299996057701,0.0689678894536635
3,0.999999970003,0.7881696664910373,0.26705857373138786,0.9997029997029997,0.48969077045816045,0.14179021002688852
5,0.9999999987490568,0.9657029314471479,0.47856366816040763,0.9999257552661323,0.7515643439894426,0.2711928755744305
8,0.9999999997550177,0.9982700048723525,0.7035365047437119,0.9999630126569974,0.9371087345423093,0.4273372470493727
16,0.9999999999260254,0.9999996540355709,0.9460975463170385,0.9999780579987674,0.99983143431011,0.7248320272187412
32,0.999999999956116,0.999999999956116,0.9989326246795454,0.9999827223338884,0.9999827223338884,0.9499694594943167
